district,Population_2011,Population_2019
Adilabad,708972,755637
Bhadradri Kothagudem ,1069261,1139641
Hyderabad,3943323,4202876
Jagtial ,985417,1050278
Jangaon ,566376,603655
Jayashankar Bhoopalpally,711434,758261
Jogulamba Gadwal ,609990,650140
Kamareddy ,972625,1036644
Karimnagar ,1005711,1071908
Khammam,1401639,1493896
Komaram Bheem Asifabad,515812,549763
Mahabubabad ,774549,825531
Mahbubnagar,1486777,1584638
Mancherial,807037,860157
Medak ,767428,817941
Medchal ,2440073,2600681
Nagarkurnool ,861766,918488
Nalgonda,1618416,1724942
Nirmal,709418,756113
Nizamabad,1571022,1674428
Peddapalli,795332,847682
Rajanna Sircilla ,552037,588373
Ranga Reddy,2446265,2607281
Sangareddy ,1527628,1628178
Siddipet,1012065,1078680
Suryapet,1099560,1171934
Vikarabad,927140,988165
Wanaparthy ,577758,615787
Warangal (Rural),718537,765832
Warangal (Urban),1080858,1152001
Yadadri Bhongir,739448,788119
